0  100  200
1  200  100
2  100  200
3  200  200
4  100  100
5  200  100
6  200  200
7  100  100
8  100  200
9  200  200
10  200  200
11  100  100
12  200  300
13  200  200
14  100  200
15  200  300
16  200  200
17  100  100
18  200  200
19  300  200
20  200  100
21  200  300
22  100  100
23  200  200
24  200  200
25  200  300
26  200  200
27  200  200
28  200  200
29  200  200
30  200  300
31  200  200
32  200  200
33  200  200
34  200  300
35  200  200
36  200  300
37  200  200
38  200  200
39  200  300
40  200  300
41  300  200
42  300  300
43  200  200
44  200  100
45  200  200
46  300  200
47  200  200
48  300  300
49  100  300
50  300  300
51  300  300
52  300  300
53  300  300
54  300  300
55  300  200
56  200  200
57  200  300
58  300  300
59  300  300
60  200  200
61  200  200
62  300  300
63  300  200
64  200  200
65  200  300
66  200  400
67  300  300
68  200  200
69  200  200
70  200  300
71  200  200
72  200  200
73  200  300
74  100  200
75  100  300
76  100  200
77  200  200
78  100  200
79  200  400
80  200  200
81  200  300
82  200  200
83  100  200
84  200  200
85  200  200
86  100  300
87  200  300
88  200  200
89  200  200
90  100  200
91  100  100
92  100  200
93  200  200
94  200  100
95  200  100
96  200  200
97  300  100
98  100  100
99  100  300
100  200  100
101  100  200
102  200  100
103  100  200
104  200  200
105  100  200
106  200  100
107  200  100
108  200  200
109  200  200
110  100  200
111  200  200
112  100  200
113  200  100
114  200  200
115  200  200
116  100  200
117  100  200
118  200  200
119  200  300
120  200  200
121  200  200
122  200  300
123  200  200
124  200  300
125  300  200
126  200  200
127  300  200
128  200  200
129  200  200
130  200  200
131  100  200
132  200  200
133  200  200
134  200  200
135  200  400
136  200  200
137  200  200
138  200  200
139  200  200
140  200  200
141  100  200
142  200  200
143  100  300
144  200  200
145  200  200
146  200  200
147  100  300
148  200  200
149  200  200
150  200  100
151  200  200
152  200  200
153  200  200
154  200  100
155  200  200
156  200  300
157  200  200
158  100  200
159  200  300
160  200  400
161  200  200
162  200  300
163  200  200
164  200  200
165  100  200
166  100  200
167  200  200
168  200  100
169  200  200
170  100  300
171  200  300
172  100  200
173  100  400
174  200  200
175  200  200
176  200  300
177  200  300
178  200  200
179  200  300
180  200  100
181  200  200
182  200  200
183  200  200
184  100  200
185  200  300
186  200  200
187  200  300
188  300  100
189  100  200
190  200  100
191  100  200
192  100  300
193  200  200
194  200  300
195  200  200
196  200  200
197  200  200
198  200  100
199  200  300
200  300  400
201  200  300
202  300  200
203  200  200
204  100  200
205  100  200
206  200  200
207  200  200
208  200  200
209  200  200
210  100  200
211  200  200
212  100  300
213  200  300
214  200  100
215  100  200
216  200  200
217  200  200
218  200  300
219  200  300
220  200  200
221  200  300
222  200  200
223  200  200
224  200  200
225  100  200
226  100  200
227  200  300
228  200  200
229  200  200
230  100  300
231  200  300
232  200  300
233  100  200
234  200  200
235  200  300
236  200  200
237  200  200
238  200  100
239  200  100
240  100  300
241  200  300
242  200  200
243  200  300
244  100  400
245  200  300
246  200  300
247  300  200
248  100  300
249  200  300
250  200  200
251  200  400
252  300  200
253  200  100
254  100  200
255  200  200
256  200  300
257  200  300
258  200  200
259  200  100
260  200  200
261  200  200
262  200  200
263  200  200
264  200  300
265  200  200
266  200  100
267  200  400
268  200  200
269  200  300
270  200  400
271  300  200
272  200  200
273  100  300
274  200  200
275  200  200
276  200  200
277  100  200
278  200  200
279  200  200
280  300  300
281  300  300
282  200  200
283  200  200
284  200  200
285  100  300
286  200  200
287  200  600
288  200  200
289  100  200
290  200  100
291  200  300
292  200  200
293  200  200
294  200  200
295  200  300
296  100  200
297  100  200
298  200  200
299  200  200
300  100  200
301  200  300
302  200  200
303  200  200
304  200  300
305  200  200
306  200  200
307  300  200
308  200  100
309  100  200
310  200  400
311  200  300
312  300  100
313  200  300
314  200  300
315  200  200
316  300  200
317  200  300
318  300  300
319  200  300
320  200  200
321  100  200
322  200  300
323  200  200
324  200  300
325  200  200
326  100  200
327  200  200
328  100  300
329  200  200
330  200  200
331  200  200
332  200  200
333  100  400
334  300  300
335  300  200
336  200  100
337  200  200
338  200  200
339  100  300
340  200  200
341  200  200
342  200  300
343  200  200
344  200  200
345  300  300
346  300  300
347  200  200
348  200  200
349  200  200
350  200  200
351  200  200
352  200  300
353  200  200
354  200  200
355  200  300
356  200  200
357  300  300
358  200  300
359  200  300
360  200  200
361  100  200
362  200  300
363  200  200
364  200  400
365  300  200
366  200  200
367  200  200
368  200  200
369  200  200
370  100  400
371  300  100
372  100  200
373  200  200
374  200  200
375  200  300
376  300  300
377  200  300
378  200  300
379  300  300
380  200  200
381  200  300
382  300  400
383  300  200
384  200  300
385  200  200
386  200  200
387  200  300
388  200  300
389  200  300
390  200  200
391  100  300
392  100  300
393  200  300
394  200  300
395  300  300
396  200  200
397  200  300
398  100  300
399  200  200
400  200  300
401  200  300
402  300  200
403  200  200
404  300  300
405  100  200
406  200  200
407  200  100
408  100  300
409  300  200
410  200  300
411  200  200
412  200  200
413  200  300
414  200  200
415  200  200
416  200  200
417  200  300
418  300  300
419  200  200
420  300  200
421  200  300
422  200  200
423  200  300
424  200  300
425  300  200
426  200  200
427  200  300
428  200  300
429  200  200
430  100  200
431  100  200
432  200  200
433  200  200
434  200  200
435  200  200
436  100  300
437  200  200
438  100  400
439  300  300
440  200  300
441  200  300
442  300  200
443  200  300
444  200  200
445  200  200
446  200  200
447  200  200
448  200  300
449  200  300
450  300  200
451  200  200
452  200  200
453  200  300
454  300  300
455  200  200
456  200  300
457  200  200
458  200  200
459  100  200
460  200  200
461  200  200
462  200  400
463  200  300
464  200  100
465  200  300
466  200  200
467  100  300
468  300  300
469  200  300
470  100  200
471  300  200
472  200  300
473  200  300
474  200  200
475  200  300
476  200  200
477  200  300
478  200  300
479  200  200
480  200  300
481  200  300
482  200  200
483  200  400
484  200  200
485  300  500
486  200  200
487  100  400
488  300  200
489  200  300
490  200  200
491  300  300
492  300  300
493  200  300
494  200  300
495  200  300
496  200  200
497  200  200
498  200  200
499  200  300
500  200  300
501  200  200
502  200  300
503  300  200
504  100  300
505  200  300
506  200  200
507  200  200
508  200  200
509  200  400
510  300  300
511  200  200
512  200  300
513  200  300
514  200  200
515  200  300
516  200  300
517  200  200
518  100  200
519  200  200
520  200  300
521  300  300
522  100  300
523  300  200
524  200  200
525  100  300
526  200  600
527  300  200
528  100  300
529  200  300
530  200  200
531  100  300
532  200  300
533  200  300
534  200  300
535  300  400
536  200  300
537  200  400
538  200  200
539  200  200
540  200  300
541  200  200
542  200  300
543  200  300
544  200  300
545  200  200
546  200  300
547  300  300
548  300  200
549  200  200
550  300  200
551  200  300
552  200  200
553  200  200
554  200  300
555  200  200
556  200  300
557  200  300
558  200  200
559  200  200
560  200  100
561  100  300
562  200  200
563  300  200
564  200  200
565  100  300
566  100  300
567  200  300
568  200  300
569  300  300
570  200  100
571  200  300
572  200  200
573  200  300
574  300  300
575  200  200
576  100  300
577  300  200
578  200  200
579  200  300
580  300  200
581  200  200
582  200  200
583  200  200
584  200  300
585  200  300
586  200  300
587  200  300
588  200  300
589  300  200
590  200  300
591  200  300
592  200  200
593  200  300
594  200  300
595  200  300
596  300  200
597  200  200
598  200  300
599  200  300
600  200  300
601  200  300
602  200  200
603  200  300
604  200  200
605  100  200
606  200  200
607  200  200
608  200  300
609  200  300
610  200  200
611  200  300
612  200  300
613  200  300
614  200  200
615  200  200
616  200  200
617  200  200
618  200  200
619  200  200
620  200  200
621  300  200
622  100  300
623  300  300
624  200  200
625  300  200
626  200  300
627  300  300
628  200  300
629  200  300
630  200  300
631  200  200
632  200  200
633  200  200
634  200  200
635  200  200
636  200  300
637  300  300
638  200  300
639  200  200
640  200  300
641  200  300
642  300  100
643  100  300
644  200  300
645  200  300
646  200  300
647  200  300
648  200  300
649  200  300
650  200  200
651  200  200
652  100  200
653  300  200
654  200  300
655  200  400
656  200  300
657  200  300
658  200  200
659  200  200
660  100  400
661  300  300
662  200  200
663  200  200
664  200  300
665  200  400
666  300  100
667  100  200
668  200  200
669  200  300
670  200  300
671  200  300
672  200  300
673  200  200
674  100  300
675  200  300
676  200  300
677  200  200
678  200  300
679  200  300
680  300  200
681  100  200
682  200  200
683  300  300
684  200  400
685  200  200
686  300  300
687  300  200
688  200  400
689  200  200
690  200  300
691  200  200
692  100  200
693  100  200
694  200  300
695  200  300
696  200  300
697  300  300
698  200  200
699  200  300
700  200  300
701  200  300
702  200  300
703  100  400
704  300  200
705  200  300
706  300  200
707  200  300
708  200  200
709  100  200
710  100  300
711  300  300
712  300  200
713  100  300
714  200  300
715  300  300
716  200  300
717  100  400
718  200  400
719  300  300
720  200  300
721  200  300
722  300  300
723  300  300
724  200  300
725  200  200
726  200  300
727  200  300
728  200  300
729  200  300
730  300  300
731  200  200
732  100  300
733  200  300
734  200  300
735  100  300
736  200  300
737  300  300
738  200  300
739  200  300
740  200  300
741  200  500
742  300  300
743  200  200
744  200  200
745  100  300
746  300  300
747  200  300
748  200  100
749  200  200
750  200  200
751  200  300
752  300  300
753  200  400
754  300  200
755  200  300
756  200  300
757  200  300
758  100  200
759  200  200
760  200  200
761  200  200
762  100  400
763  200  300
764  200  200
765  200  300
766  200  200
767  200  200
768  200  200
769  200  300
770  200  200
771  100  300
772  200  200
773  200  400
774  300  300
775  300  400
776  200  300
777  300  200
778  200  200
779  300  300
780  200  200
781  100  200
782  200  300
783  300  200
784  200  300
785  200  400
786  300  200
787  200  300
788  300  200
789  200  300
790  200  200
791  200  200
792  200  400
793  300  300
794  200  200
795  200  300
796  300  200
797  200  200
798  200  300
799  200  300
800  300  400
801  300  200
802  200  300
803  200  300
804  200  200
805  200  400
806  200  200
807  200  400
808  200  200
809  200  300
810  200  300
811  200  300
812  200  200
813  200  300
814  200  300
815  300  200
816  200  300
817  200  300
818  200  400
819  200  300
820  300  500
821  200  300
822  200  300
823  200  300
824  200  200
825  200  300
826  300  200
827  300  500
828  200  400
829  200  300
830  200  300
831  300  200
832  200  300
833  300  300
834  200  300
835  300  300
836  200  300
837  200  200
838  200  300
839  300  300
840  200  300
841  200  300
842  100  400
843  200  300
844  300  300
845  300  400
846  300  300
847  200  300
848  200  400
849  200  300
850  300  300
851  200  300
852  300  600
853  300  300
854  300  400
855  300  400
856  200  200
857  100  300
858  200  300
859  200  400
860  400  400
861  300  300
862  200  300
863  300  200
864  300  500
865  300  300
866  200  300
867  200  300
868  300  300
869  300  400
870  200  200
871  200  400
872  300  300
873  300  400
874  300  300
875  200  400
876  200  300
877  200  300
878  300  200
879  200  300
880  200  300
881  200  400
882  200  300
883  300  500
884  300  200
885  200  200
886  100  200
887  100  400
888  300  200
889  300  200
890  200  200
891  300  400
892  300  200
893  200  300
894  300  400
895  400  1200
896  400  600
897  400  200
898  200  400
899  200  200
900  200  400
901  300  300
902  300  600
903  300  500
904  300  200
905  200  300
906  200  500
907  400  300
908  200  400
909  300  400
910  400  300
911  300  400
912  400  500
913  400  400
914  300  400
915  200  300
916  200  300
917  300  400
918  300  400
919  200  200
920  300  400
921  200  300
922  300  400
923  300  400
924  300  400
925  300  400
926  300  400
927  200  300
928  300  200
929  2300  400
930  200  400
931  300  500
932  400  600
933  400  400
934  200  400
935  200  200
936  300  600
937  400  600
938  300  300
939  300  400
940  200  300
941  200  300
942  300  600
943  400  500
944  400  400
945  300  400
946  300  400
947  200  300
948  200  200
949  200  300
950  300  200
951  200  400
952  400  300
953  200  300
954  200  400
955  300  400
956  200  300
957  200  300
958  300  300
959  300  200
960  100  400
961  300  300
962  100  400
963  300  300
964  200  300
965  200  200
966  200  200
967  100  300
968  200  200
969  200  500
970  300  400
971  200  400
972  200  300
973  300  200
974  200  400
975  300  200
976  200  300
977  300  200
978  200  200
979  200  400
980  300  200
981  100  300
982  100  300
983  300  400
984  300  600
985  200  300
986  200  300
987  200  400
988  300  300
989  200  200
990  200  300
991  200  400
992  300  200
993  200  400
994  200  300
995  200  200
996  200  400
997  300  300
998  100  400
999  300  300
1000  200  400
1001  300  300
1002  300  300
1003  300  300
1004  200  300
1005  200  400
1006  300  300
1007  200  400
1008  300  200
1009  200  500
1010  300  300
1011  300  200
1012  200  300
1013  200  300
1014  300  300
1015  300  500
1016  300  200
1017  200  300
1018  200  200
1019  200  300
1020  200  500
1021  400  300
1022  200  200
1023  400  400
1024  200  800
1025  500  600
1026  400  500
1027  200  400
1028  200  300
1029  200  200
1030  200  400
1031  200  200
1032  100  400
1033  200  300
1034  200  200
1035  100  300
1036  200  200
1037  200  200
1038  200  400
1039  300  300
1040  200  300
1041  300  400
1042  300  400
1043  300  300
1044  200  300
1045  200  200
1046  300  300
1047  300  300
1048  200  300
1049  200  300
1050  300  400
1051  300  400
1052  200  200
1053  200  300
1054  200  300
1055  300  200
1056  300  300
1057  200  300
1058  300  300
1059  300  300
1060  300  1100
1061  400  700
1062  300  400
1063  300  400
1064  200  300
1065  200  500
1066  200  400
1067  300  300
1068  200  400
1069  200  300
1070  200  300
1071  100  300
1072  200  200
1073  200  500
1074  300  400
1075  100  500
1076  400  200
1077  100  400
1078  400  300
1079  200  600
1080  400  400
1081  300  600
1082  400  500
1083  400  300
1084  200  400
1085  200  400
1086  200  500
1087  300  300
1088  300  400
1089  300  300
1090  300  500
1091  300  400
1092  300  600
1093  500  300
1094  300  500
1095  300  500
1096  400  500
1097  300  500
1098  400  500
1099  300  500
1100  400  400
1101  400  400
1102  300  400
1103  300  600
1104  300  300
1105  300  100
1106  200  500
1107  300  400
1108  500  500
1109  200  300
1110  300  500
1111  300  300
1112  200  400
1113  300  200
1114  400  800
1115  500  500
1116  400  500
1117  300  400
1118  300  500
1119  400  600
1120  300  300
1121  300  400
1122  300  500
1123  200  400
1124  200  400
1125  300  300
1126  200  400
1127  300  500
1128  300  300
1129  200  400
